City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
260,Matola,MZ,-25.9622,32.4589,85.95,54,40,8.05,scattered clouds
261,Novyy Chirkey,RU,43.162,47.0559,51.58,44,0,6.89,clear sky
262,Coihueco,CL,-36.6167,-71.8333,50.74,71,0,0.0,clear sky
263,Kavaratti,IN,10.5669,72.642,80.82,71,7,8.39,clear sky
264,Farah,AF,32.5,62.5,59.02,20,0,4.34,clear sky
265,Nantucket,US,41.2835,-70.0995,51.26,86,0,14.97,clear sky
266,Lunsar,SL,8.6833,-12.5333,77.32,82,97,2.64,overcast clouds
267,Koungheul,SN,13.9833,-14.8,72.86,13,4,13.98,clear sky
268,Port Elizabeth,ZA,-33.918,25.5701,78.76,66,0,9.89,clear sky
269,Laguna,US,38.421,-121.4238,63.1,89,0,0.0,clear sky
270,Mbouda,CM,5.6258,10.2552,78.85,15,28,4.94,scattered clouds
271,Osoyoos,CA,49.0331,-119.4524,28.0,84,9,3.49,clear sky
272,Komsomolskiy,UZ,40.4272,71.7189,42.15,81,100,2.3,light rain
273,Richards Bay,ZA,-28.783,32.0377,86.52,50,2,6.44,clear sky
274,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.77,98,100,1.45,light rain
275,Zhanaozen,KZ,43.3,52.8,42.6,61,100,11.63,overcast clouds
276,Bend,US,44.0582,-121.3153,34.32,63,0,4.61,clear sky
277,Sabha,LY,27.0377,14.4283,56.3,28,0,8.75,clear sky
278,Keuruu,FI,62.2667,24.7,25.81,92,52,10.31,broken clouds
279,Samarai,PG,-10.6167,150.6667,81.82,64,63,12.86,broken clouds
280,Nanortalik,GL,60.1432,-45.2371,29.68,77,100,15.1,overcast clouds
281,Port Hardy,CA,50.6996,-127.4199,39.76,81,25,0.92,scattered clouds
282,Bellavista,PE,-7.0561,-76.5911,69.26,98,98,0.63,overcast clouds
283,Asadabad,IR,34.7824,48.1185,37.11,93,100,6.89,overcast clouds
284,San Patricio,US,28.017,-97.5169,62.89,94,0,4.7,clear sky
285,Casale Monferrato,IT,45.1334,8.4571,48.34,83,92,11.27,overcast clouds
286,Prieska,ZA,-29.6641,22.7474,91.09,27,1,10.65,clear sky
287,Manzhouli,CN,49.6,117.4333,-9.83,95,26,4.74,scattered clouds
288,Rovaniemi,FI,66.5,25.7167,0.81,85,100,5.75,overcast clouds
289,Cururupu,BR,-1.8283,-44.8683,74.32,95,99,2.71,overcast clouds
290,Bollnas,SE,61.3482,16.3946,33.39,73,100,12.41,overcast clouds
291,Aksu,CN,41.1231,80.2644,39.61,27,27,2.57,scattered clouds
292,Nchelenge,ZM,-9.3451,28.734,72.68,76,100,1.03,overcast clouds
293,Sangin,AF,32.0728,64.8359,61.86,18,0,3.04,clear sky
294,Sorland,NO,67.667,12.6934,32.95,66,88,17.4,light snow
295,Daru,PG,-9.0763,143.2092,80.38,76,100,7.31,overcast clouds
296,Seymchan,RU,62.8833,152.4333,-38.51,100,47,1.05,scattered clouds
297,Sinnar,SD,13.5691,33.5672,85.06,21,0,13.98,clear sky
298,Carlsbad,US,33.1581,-117.3506,72.09,44,0,0.0,clear sky
299,Bantou,CN,26.2151,117.4893,60.19,86,100,2.08,overcast clouds
300,Khani,GE,41.9563,42.9566,44.17,90,38,3.67,scattered clouds
301,Atbasar,KZ,51.8,68.3333,24.51,93,98,14.74,overcast clouds
302,San Anselmo,US,37.9747,-122.5616,63.46,66,68,4.63,broken clouds
303,Goure,NE,13.9835,10.2704,73.02,13,2,17.07,clear sky
304,Taber,CA,49.8167,-112.1518,29.98,68,86,10.45,overcast clouds
305,Luganville,VU,-15.5333,167.1667,79.45,86,100,8.1,overcast clouds
306,Seoul,KR,37.5683,126.9778,47.59,21,96,3.36,overcast clouds
307,Novikovo,RU,51.1537,37.8879,31.35,96,100,2.55,snow
308,Fuyang,CN,32.9,115.8167,41.94,86,100,4.45,light rain
309,Poum,NC,-20.2333,164.0167,81.34,77,100,5.7,overcast clouds
310,Quelimane,MZ,-17.8786,36.8883,82.35,83,75,5.75,broken clouds
311,Esperance,AU,-33.8667,121.9,69.19,78,59,14.58,broken clouds
312,Ixtapa,MX,20.7,-105.2,64.22,87,14,1.01,few clouds
313,Zuenoula,CI,7.4292,-6.0431,80.53,51,20,4.03,few clouds
314,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.99,100,100,12.66,overcast clouds
315,Chiang Khong,TH,20.2613,100.4046,93.63,21,11,4.27,few clouds
316,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,46,75,10.36,broken clouds
317,Tura,IN,25.5198,90.2201,71.53,36,6,5.59,clear sky
318,Lazaro Cardenas,MX,17.9583,-102.2,72.0,64,100,4.56,overcast clouds
319,Abhar,IR,36.1468,49.218,38.37,71,45,3.13,scattered clouds
320,Aripuana,BR,-9.1667,-60.6333,71.92,95,100,0.78,overcast clouds
321,Safford,US,32.834,-109.7076,47.32,29,0,0.0,clear sky
322,Dergachi,RU,51.2328,48.7659,28.08,93,12,10.33,few clouds
323,Namikupa,TZ,-10.8333,39.6,79.59,78,100,2.53,light rain
324,Corum,TR,40.5,34.75,27.07,96,17,3.76,few clouds
325,Odweyne,SO,9.4092,45.064,83.61,16,30,14.83,scattered clouds
326,Bubaque,GW,11.2833,-15.8333,77.2,40,2,19.06,clear sky
327,Iqaluit,CA,63.7506,-68.5145,-20.31,75,75,0.0,broken clouds
328,Juarez,MX,31.7333,-106.4833,53.83,37,0,15.01,clear sky
329,Torit,SS,4.4133,32.5678,95.83,20,55,7.23,broken clouds
330,Almaznyy,RU,48.0448,40.045,37.54,98,100,6.98,overcast clouds
331,Necochea,AR,-38.5473,-58.7368,55.04,61,0,8.25,clear sky
332,High Prairie,CA,55.4334,-116.4858,27.7,94,100,2.64,overcast clouds
333,Skerries,IE,53.5828,-6.1083,52.5,88,100,22.19,overcast clouds
334,Faanui,PF,-16.4833,-151.75,81.84,71,100,14.47,overcast clouds
335,Bunia,CD,1.5667,30.25,86.95,24,100,4.27,overcast clouds
336,Salinas,US,36.6777,-121.6555,61.57,66,0,5.75,clear sky
337,Bengkulu,ID,-3.8004,102.2655,84.02,68,100,7.87,overcast clouds
338,Sao Marcos,BR,-28.9711,-51.0681,63.72,97,10,2.91,clear sky
339,Te Anau,NZ,-45.4167,167.7167,47.95,73,100,6.29,overcast clouds
340,Pacifica,US,37.6138,-122.4869,63.45,65,0,3.44,clear sky
341,Mumford,GH,5.2618,-0.759,82.0,77,100,10.11,overcast clouds
342,Kibre Mengist,ET,5.8833,38.9833,82.76,15,24,4.05,few clouds
343,Aykhal,RU,66.0,111.5,-5.67,100,82,4.45,broken clouds
344,Dulce Grande,MX,23.0,-102.1667,43.14,32,0,7.43,clear sky
